,anomaly,date
912,-1.167,1859-08-01
913,-1.914,1859-09-01
914,-2.1,1859-10-01
915,-0.183,1859-11-01
916,-2.658,1859-12-01
917,0.324,1860-01-01
918,-0.507,1860-02-01
919,0.744,1860-03-01
920,-0.389,1860-04-01
921,0.17,1860-05-01
922,-0.367,1860-06-01
923,-0.146,1860-07-01
924,-0.796,1860-08-01
925,-1.19,1860-09-01
926,-1.116,1860-10-01
927,-1.004,1860-11-01
928,-1.107,1860-12-01
929,-1.339,1861-01-01
930,0.435,1861-02-01
931,0.025,1861-03-01
932,-0.112,1861-04-01
933,-0.934,1861-05-01
934,0.285,1861-06-01
935,-0.595,1861-07-01
936,-1.008,1861-08-01
937,-0.778,1861-09-01
938,-0.858,1861-10-01
939,-0.048,1861-11-01
940,0.85,1861-12-01
941,-0.173,1862-01-01
942,-2.263,1862-02-01
943,-0.71,1862-03-01
944,-1.534,1862-04-01
945,-0.459,1862-05-01
946,-0.502,1862-06-01
947,-0.181,1862-07-01
948,-0.073,1862-08-01
949,-0.5,1862-09-01
950,-0.673,1862-10-01
951,-0.668,1862-11-01
952,0.53,1862-12-01
953,1.206,1863-01-01
954,-0.501,1863-02-01
955,0.218,1863-03-01
956,-0.198,1863-04-01
957,-0.2,1863-05-01
958,-1.028,1863-06-01
959,-0.904,1863-07-01
960,-0.72,1863-08-01
961,-0.7,1863-09-01
962,-2.133,1863-10-01
963,-1.0,1863-11-01
964,-0.793,1863-12-01
965,-0.445,1864-01-01
966,0.639,1864-02-01
967,-1.022,1864-03-01
968,-1.039,1864-04-01
969,0.487,1864-05-01
970,0.02,1864-06-01
971,0.13,1864-07-01
972,0.122,1864-08-01
973,-0.535,1864-09-01
974,-1.853,1864-10-01
975,-1.127,1864-11-01
976,-1.521,1864-12-01
977,-0.763,1865-01-01
978,-0.472,1865-02-01
979,-0.999,1865-03-01
980,-1.054,1865-04-01
981,0.576,1865-05-01
982,0.474,1865-06-01
983,-0.773,1865-07-01
984,-0.005,1865-08-01
985,0.914,1865-09-01
986,-0.895,1865-10-01
987,0.696,1865-11-01
988,-2.672,1865-12-01
989,-0.333,1866-01-01
990,-1.065,1866-02-01
991,-0.702,1866-03-01
992,0.496,1866-04-01
993,-0.778,1866-05-01
994,-0.597,1866-06-01
995,0.21,1866-07-01
996,-1.038,1866-08-01
997,-1.657,1866-09-01
998,-0.587,1866-10-01
999,0.072,1866-11-01
1000,0.074,1866-12-01
1001,-0.782,1867-01-01
1002,0.236,1867-02-01
1003,-3.421,1867-03-01
1004,-0.286,1867-04-01
1005,-1.563,1867-05-01
1006,0.444,1867-06-01
1007,-0.578,1867-07-01
1008,-0.286,1867-08-01
1009,0.082,1867-09-01
1010,-0.275,1867-10-01
1011,0.818,1867-11-01
1012,1.052,1867-12-01
1013,-2.231,1868-01-01
1014,-1.071,1868-02-01
1015,1.366,1868-03-01
1016,-0.727,1868-04-01
1017,-0.177,1868-05-01
1018,-0.196,1868-06-01
1019,0.727,1868-07-01
1020,-0.883,1868-08-01
1021,-1.535,1868-09-01
1022,-0.838,1868-10-01
1023,-1.194,1868-11-01
1024,-1.068,1868-12-01
1025,1.255,1869-01-01
1026,-0.25,1869-02-01
1027,-0.869,1869-03-01
1028,-0.808,1869-04-01
1029,-0.363,1869-05-01
1030,-0.363,1869-06-01
1031,-0.491,1869-07-01
1032,0.1,1869-08-01
1033,-0.823,1869-09-01
